번호,분류,질문,답변
1,휴학,일반휴학은 최대 몇 학기까지 할 수 있나요?,일반휴학은 학기 단위로 신청하며 통산 6개 학기를 초과할 수 없습니다.
2,휴학,군 복무 휴학도 통산 기간에 포함되나요?,포함되지 않습니다. 군 복무 휴학은 일반휴학 통산 기간과 별도로 산정합니다.
3,휴학,휴학원은 언제까지 내야 하나요?,해당 학기 수업일수 4분의 1이 지나기 전까지 제출하여야 합니다.
4,휴학,질병으로 휴학하려면 무엇이 필요한가요?,의료기관이 발행한 진단서가 필요하며 요양 기간이 30일 이상이어야 합니다.
5,복학,휴학 기간이 끝나면 반드시 복학해야 하나요?,네. 복학하지 않으면 제적될 수 있습니다.
6,복학,휴학 기간이 남았는데 미리 돌아올 수 있나요?,휴학 사유가 소멸하면 조기 복학을 신청할 수 있습니다.
7,수강,한 학기에 최대 몇 학점까지 신청할 수 있나요?,21학점까지이며 직전 학기 평점 평균 3.5 이상이면 24학점까지 가능합니다.
8,성적,결석을 몇 번 하면 F인가요?,수업 시간의 4분의 1을 초과하여 결석하면 F 학점이 부여됩니다.
9,성적,재수강하면 A+를 받을 수 있나요?,받을 수 없습니다. 재수강 성적은 A0를 초과하여 부여하지 않습니다.
10,졸업,졸업 학점은 몇 학점인가요?,120학점 이상이며 학과가 정한 졸업 인증 요건도 충족해야 합니다.
